codtipovia,codvia,codviacatastro,nomoficial,traducnooficial
PG,38850,3217,RUSSAFA,RUSSAFA
C/,38940,2450,JOSEP GROLLO,JOSE GROLLO
C/,39000,3345,JOS� MARIA FUSTER,JOSE MARIA FUSTER
C/,39010,2628,JOSE MARIA HARO (MAGISTRAT),JOS� MARIA HARO (MAGISTRAT)
PL,39060,3143,BADAJOZ,BADAJOZ
C/,37680,1077,JACINT LABAILA,JACINTO LABAILA
C/,37710,1078,JACOMART,JACOMART
C/,37740,1079,PERIODISTA JOS� OMBUENA,PERIODISTE JOSE OMBUENA
PL,38460,2402,JOAQUIM DUALDE,JOAQUIN DUALDE
C/,38520,1101,JOAQUIM NAVARRO,JOAQUIN NAVARRO
C/,38640,1105,JOSEP AGUIRRE,JOSE AGUIRRE
C/,36720,1054,IFAC,IFACH
PL,36840,1057,ESGL�SIA DEL FORN D'ALCEDO,IGLESIA HORNO DE ALCEDO
C/,36990,1062,IMPERTIN�NCIES,IMPERTINENCIAS
C/,37080,1064,ENGINYER AUB�N,INGENIERO AUBAN
C/,37110,1065,ENGINYER DICENTA,INGENIERO DICENTA
C/,37140,2310,ENGINYER JOS� SIRERA,INGENIERO JOSE SIRERA
C/,37200,2311,ENGINYER MANUEL C�NOVAS,INGENIERO MANUEL CANOVAS
C/,37390,2627,ILLA CABRERA,ISLA CABRERA
C/,37620,1075,JACA,JACA
C/,35910,2348,HISTORIADOR COLOMA,HISTORIADOR COLOMA
C/,36000,1037,HISTORIADOR DIAGO,HISTORIADOR DIAGO
PL,36030,2570,H�MENS DE LA MAR,HOMBRES DEL MAR
C/,36060,1038,HONORAT JUAN,HONORATO JUAN
C/,36150,1041,FORN DELS AP�STOLS,HORNO DE LOS APOSTOLES
C/,36210,1043,FORN DEL CABANYAL,HORNO DEL CABA�AL
C/,36330,2302,HORTICULTOR BOSCH,HORTICULTOR BOSCH
C/,36630,2325,HUMANISTA MARINER,HUMANISTA MARINER
PL,36660,1052,IBANYES,IBA�EZ
AV,35460,2830,GERMANS MACHADO,HERMANOS MACHADO
AV,35462,2888,GERMANS MARISTES,HERMANOS MARISTAS
C/,35520,1024,GERMANS VILLALONGA,HERMANOS VILLALONGA
C/,35730,1029,FERRO,HIERROS
C/,35790,1031,FIGUEROLES DE DOMENYO,HIGUERUELAS
C/,34260,2346,GONZALO RAMIRO PEDRER,GONZALO RAMIRO PEDRER
C/,34380,995,GOYA,GOYA
C/,34440,997,GRAVADOR ESTEVE,GRABADOR ESTEVE
C/,34950,2514,AGUST� CENTELLES OSS� (FOT�GRAF),AGUST� CENTELLES OSS� (FOT�GRAFO)
